"target","stage","GEO","genomeVer","replicate","url"
"H3","L3","GSE22734","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562742/suppl/GSM562742_AR0144_H3144_N2_L3_1.wig.gz"
"H3","L3","GSE22734","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562743/suppl/GSM562743_AR0144_H3144_N2_L3_2.wig.gz"
"H3K27ac","L3","GSE25355","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624432/suppl/GSM624432_WA30634849_H3K27AC_N2_L3_1.wig.gz"
"H3K27ac","L3","GSE25355","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624433/suppl/GSM624433_WA30634849_H3K27AC_N2_L3_2.wig.gz"
"H3K27me1","L3","GSE26179","WS190","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646553/suppl/GSM646553_UP07448_H3K27ME124439_N2_L3_1_MA2Cscore.wig.gz"
"H3K27me1","L3","GSE26179","WS190","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646554/suppl/GSM646554_UP07448_H3K27ME124439_N2_L3_2_MA2Cscore.wig.gz"
"H3K27me3","L3","GSE22730","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562734/suppl/GSM562734_HK00013_H3K27ME31E7_N2_L3_1.wig.gz"
"H3K27me3","L3","GSE22730","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562735/suppl/GSM562735_HK00013_H3K27ME31E7_N2_L3_2.wig.gz"
"H3K36me1","L3","GSE26181","WS190","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646555/suppl/GSM646555_AB9048_H3K36ME1206009_N2_L3_1_ME5_MA2Cscore.wig.gz"
"H3K36me1","L3","GSE26181","WS190","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646556/suppl/GSM646556_AB9048_H3K36ME1206009_N2_L3_2_ME6_MA2Cscore.wig.gz"
